call_id,agent_id,org_id,installment_id,status,duration,created_ts,call_date
C0001,A001,O1,L1636,completed,11.42,2025-04-29T02:30:00,29/04/25
C0002,A001,O1,L1408,completed,5.44,2025-04-29T09:30:00,29/04/25
C0003,A001,O1,L1250,no_answer,7.89,2025-04-29T20:51:00,29/04/25
C0004,A001,O1,L1797,completed,7.98,2025-04-29T07:29:00,29/04/25
C0005,A001,O1,L1305,completed,13.95,2025-04-29T14:18:00,29/04/25
C0006,A001,O1,L1970,connected,3.85,2025-04-29T02:55:00,29/04/25
C0007,A001,O1,L1461,completed,1.45,2025-04-29T09:56:00,29/04/25
C0008,A001,O1,L1473,no_answer,13.17,2025-04-29T01:51:00,29/04/25
C0009,A001,O1,L1726,connected,8.37,2025-04-29T10:36:00,29/04/25
C0010,A001,O1,L1922,completed,9.99,2025-04-29T23:07:00,29/04/25
C0011,A001,O1,L1932,completed,1.5,2025-04-29T09:46:00,29/04/25
C0012,A001,O1,L1879,connected,12.81,2025-04-29T04:26:00,29/04/25
C0013,A001,O1,L1015,completed,5.84,2025-04-29T08:07:00,29/04/25
C0014,A001,O1,L1490,completed,10.47,2025-04-29T14:33:00,29/04/25
C0015,A001,O1,L1764,no_answer,8.9,2025-04-29T05:59:00,29/04/25
C0016,A001,O1,L1220,connected,9.28,2025-04-29T18:43:00,29/04/25
C0017,A001,O1,L1967,no_answer,14.26,2025-04-29T17:15:00,29/04/25
C0018,A001,O1,L1271,connected,1.84,2025-04-29T01:45:00,29/04/25
C0019,A001,O1,L1321,completed,9.31,2025-04-29T05:10:00,29/04/25
C0020,A001,O1,L1581,completed,9.87,2025-04-29T11:26:00,29/04/25
C0021,A002,O1,L1598,completed,5.67,2025-04-29T17:09:00,29/04/25
C0022,A002,O1,L1227,connected,11.59,2025-04-29T15:42:00,29/04/25
C0023,A002,O1,L1566,failed,2.26,2025-04-29T23:48:00,29/04/25
C0024,A002,O1,L1152,failed,11.45,2025-04-29T02:54:00,29/04/25
C0025,A002,O1,L1295,failed,12.55,2025-04-29T23:59:00,29/04/25
C0026,A002,O1,L1752,failed,3.47,2025-04-29T20:36:00,29/04/25
C0027,A002,O1,L1481,no_answer,10.39,2025-04-29T09:29:00,29/04/25
C0028,A002,O1,L1090,failed,1.79,2025-04-29T08:36:00,29/04/25
C0029,A002,O1,L1807,no_answer,3.74,2025-04-29T01:08:00,29/04/25
C0030,A002,O1,L1504,completed,9.72,2025-04-29T03:19:00,29/04/25
C0031,A002,O1,L1222,no_answer,13.73,2025-04-29T15:10:00,29/04/25
C0032,A002,O1,L1759,no_answer,4.82,2025-04-29T17:57:00,29/04/25
C0033,A002,O1,L1308,no_answer,14.05,2025-04-29T21:57:00,29/04/25
C0034,A002,O1,L1209,failed,8.19,2025-04-29T07:12:00,29/04/25
C0035,A002,O1,L1519,completed,4.91,2025-04-29T10:35:00,29/04/25
C0036,A002,O1,L1559,failed,0.5,2025-04-29T21:56:00,29/04/25
C0037,A002,O1,L1695,no_answer,1.16,2025-04-29T12:39:00,29/04/25
C0038,A002,O1,L1083,completed,11.29,2025-04-29T21:53:00,29/04/25
C0039,A002,O1,L1506,no_answer,9.51,2025-04-29T09:45:00,29/04/25
C0040,A002,O1,L1730,failed,7.47,2025-04-29T16:10:00,29/04/25
C0041,A002,O1,L1231,connected,14.79,2025-04-29T01:47:00,29/04/25
C0042,A002,O1,L1418,connected,10.47,2025-04-29T04:37:00,29/04/25
C0043,A002,O1,L1449,connected,9.34,2025-04-29T18:25:00,29/04/25
C0044,A003,O1,L1887,completed,2.42,2025-04-29T12:58:00,29/04/25
C0045,A003,O1,L1546,connected,13.01,2025-04-29T05:34:00,29/04/25
C0046,A003,O1,L1390,no_answer,7.92,2025-04-29T18:03:00,29/04/25
C0047,A003,O1,L1749,no_answer,3.08,2025-04-29T02:21:00,29/04/25
C0048,A003,O1,L1234,completed,14.24,2025-04-29T01:04:00,29/04/25
C0049,A003,O1,L1827,completed,0.61,2025-04-29T01:43:00,29/04/25
C0050,A003,O1,L1691,connected,11.65,2025-04-29T13:46:00,29/04/25
C0051,A003,O1,L1673,failed,13.43,2025-04-29T08:54:00,29/04/25
C0052,A003,O1,L1359,no_answer,1.83,2025-04-29T23:11:00,29/04/25
C0053,A003,O1,L1527,failed,11.59,2025-04-29T03:11:00,29/04/25
C0054,A003,O1,L1424,connected,6.47,2025-04-29T23:46:00,29/04/25
C0055,A003,O1,L1417,failed,1.25,2025-04-29T18:31:00,29/04/25
C0056,A003,O1,L1019,completed,13.45,2025-04-29T11:56:00,29/04/25
C0057,A003,O1,L1503,completed,10.11,2025-04-29T19:41:00,29/04/25
C0058,A003,O1,L1169,failed,8.9,2025-04-29T20:18:00,29/04/25
C0059,A003,O1,L1872,no_answer,0.24,2025-04-29T10:48:00,29/04/25
C0060,A003,O1,L1622,connected,1.55,2025-04-29T02:14:00,29/04/25
C0061,A003,O1,L1648,completed,1.37,2025-04-29T18:06:00,29/04/25
C0062,A003,O1,L1974,no_answer,9.6,2025-04-29T15:50:00,29/04/25
C0063,A003,O1,L1864,completed,8.36,2025-04-29T17:19:00,29/04/25
C0064,A003,O1,L1061,completed,9.48,2025-04-29T16:06:00,29/04/25
C0065,A004,O3,L1861,connected,4.45,2025-04-29T05:13:00,29/04/25
C0066,A004,O3,L1412,failed,6.66,2025-04-29T03:43:00,29/04/25
C0067,A004,O3,L1592,completed,14.1,2025-04-29T21:08:00,29/04/25
C0068,A004,O3,L1270,completed,4.14,2025-04-29T03:39:00,29/04/25
C0069,A004,O3,L1353,failed,5.03,2025-04-29T14:53:00,29/04/25
C0070,A004,O3,L1476,failed,6.46,2025-04-29T12:35:00,29/04/25
C0071,A004,O3,L1951,failed,12.92,2025-04-29T19:39:00,29/04/25
C0072,A004,O3,L1983,failed,5.13,2025-04-29T21:41:00,29/04/25
C0073,A004,O3,L1337,no_answer,2.15,2025-04-29T23:40:00,29/04/25
C0074,A004,O3,L1932,no_answer,2.51,2025-04-29T00:31:00,29/04/25
C0075,A004,O3,L1454,connected,0.18,2025-04-29T23:41:00,29/04/25
C0076,A004,O3,L1630,no_answer,14.31,2025-04-29T09:32:00,29/04/25
C0077,A004,O3,L1093,connected,13.93,2025-04-29T21:54:00,29/04/25
C0078,A004,O3,L1487,no_answer,2.63,2025-04-29T12:21:00,29/04/25
C0079,A004,O3,L1729,no_answer,8.59,2025-04-29T02:30:00,29/04/25
C0080,A004,O3,L1362,no_answer,12.16,2025-04-29T01:45:00,29/04/25
C0081,A004,O3,L1865,failed,13.71,2025-04-29T03:55:00,29/04/25
C0082,A004,O3,L1085,connected,10.58,2025-04-29T09:18:00,29/04/25
C0083,A004,O3,L1447,no_answer,8.23,2025-04-29T15:00:00,29/04/25
C0084,A004,O3,L1793,failed,4.3,2025-04-29T15:13:00,29/04/25
C0085,A004,O3,L1873,completed,10.48,2025-04-29T15:25:00,29/04/25
C0086,A004,O3,L1460,connected,0.26,2025-04-29T04:48:00,29/04/25
C0087,A004,O3,L1297,no_answer,13.59,2025-04-29T21:00:00,29/04/25
